Components of the reference condensed-phase (THF) cation affinities (298 K enthalpy): eE = L-W1X* or DSD-PBEP86/ma-def2-TZVPP electronic energies, ZPVE = zero-point vibrational energies, ΔH(298-0) = thermal corrections for 298 K enthalpy, ΔH(THF-gas) = solvation effects

* https://github.com/armanderch/l-w1x

nucleophile cation method eE ZPVE ΔH(298-0) ΔH(THF-gas)
SMe2 Cl L-W1X 835.0 -6.5 3.1 -29.8
SMe2 Br L-W1X 710.9 -5.5 2.6 13.5
SMe2 I L-W1X 550.8 -5.0 2.2 -122.9
SMe2 Me L-W1X 485.1 -21.6 5.5 -86.6
SMe2 CN L-W1X 849.9 -13.2 3.5 -34.6
SMe2 C6H4H L-W1X 400.1 -21.1 2.9 -26.8
SMe2 C6H4F L-W1X 427.0 -21.1 3.0 -28.1
SMe2 C6H4Me L-W1X 399.3 -21.0 2.9 -22.9
SMe2 C2H3Me L-W1X 319.1 -24.4 4.1 -49.6
SMe2 C2H3C6H4H L-W1X 223.1 -15.1 2.0 0.6
SMe2 C2H3C6H4F L-W1X 210.3 -14.5 1.9 2.0
SMe2 C2H3C6H4Me L-W1X 292.4 -15.9 1.3 -3.6
SMe2 C2Me L-W1X 519.1 -19.1 1.6 -70.1
SMe2 C2C6H4H DSD-PBEP86 563.8 -16.5 2.5 -25.9
SMe2 C2C6H4F DSD-PBEP86 546.6 -15.2 2.3 -24.6
SMe2 C2C6H4Me DSD-PBEP86 528.9 -16.9 2.2 -24.5
SMeC6H4F Cl L-W1X 840.3 -6.2 2.7 -55.9
SMeC6H4F Br DSD-PBEP86 795.6 -5.2 2.1 -9.4
SMeC6H4F I DSD-PBEP86 620.7 -4.5 1.7 -145.5
SMeC6H4F Me L-W1X 483.3 -21.1 5.3 -103.5
SMeC6H4F CN L-W1X 858.6 -12.4 3.2 -63.3
SMeC6H4F C6H4H L-W1X 396.0 -20.3 2.5 -40.7
SMeC6H4F C6H4F L-W1X 424.0 -20.3 2.5 -42.2
SMeC6H4F C6H4Me L-W1X 394.3 -20.2 2.5 -35.7
SMeC6H4F C2H3Me L-W1X 313.9 -23.5 3.6 -63.6
SMeC6H4F C2H3C6H4H L-W1X 220.2 -14.1 1.4 -11.0
SMeC6H4F C2H3C6H4F L-W1X 208.1 -13.3 1.2 -10.3
SMeC6H4F C2H3C6H4Me L-W1X 289.5 -14.9 0.7 -15.4
SMeC6H4F C2Me L-W1X 515.8 -18.2 1.2 -86.8
SMeC6H4F C2C6H4H DSD-PBEP86 562.2 -15.4 2.0 -41.7
SMeC6H4F C2C6H4F DSD-PBEP86 545.1 -14.1 1.7 -40.5
SMeC6H4F C2C6H4Me DSD-PBEP86 527.0 -15.8 1.6 -40.0
SMeC6H4H Cl L-W1X 852.0 -6.2 2.7 -62.0
